code;name;descr
NEW;Neuanlage;Neuanlage
EXT;Erweiterung;Erweiterung/Änderung
DEL;Rückbau;Rückbau
CON;Bauanschluss;Bauanschluss
TMP;Temporär;Temporär
FIX;Festanschluss;Festanschluss
